Имя файла	Название произведения	Дата создания оригинала	Имя и фамилия автора	Год рождения автора	Перевод названия	Имя и фамилия переводчика	Дата перевода	Сфера текста	Язык оригинала	Язык перевода
rus_Turg	In Philosophia quid Romani ipsi effecerint, quid a Graecis assumserint?	1841	Ioannes Turgenev	1818	Что в философии римляне сделали сами и что они переняли у греков?	И. С. Тургенев	1841	учебно-научная	lat	rus
rus_Turg2		1841	Ioannes Turgenev	1818		И. С. Тургенев	1841	учебно-научная	lat	rus
Petrificatio artificialis	Petrificatio artificialis	1741-1763	Michael Lomonosow	1711	Искуственное окаменение	Я. М. Боровский	1954	учебно-научная	lat	rus
Academia Sued	Письмо в Шведскую академию наук, 15 июля 1760 г.	1760	Michael Lomonosow	1711		Ю. Е. Копелевич	1952	официально-деловая	lat	rus
Henk	Письмо Генкелю И.-Ф., вторая половина декабря 1739 г.	1739	Michael Lomonosow	1711		А. И. Доватур	1952	обиходно-бытовая	lat	rus
Form	Письмо Формею И.-Г.-С., 12 февраля 1754 г.	1754	Michael Lomonosow	1711		Я. М. Боровский	1952	обиходно-бытовая	lat	rus
Tsan	Письмо Цанотти Ф.-М., 9 мая 1764 г.	1764	Michael Lomonosow	1711		Ю. Е. Копелевич	1952	обиходно-бытовая	lat	rus
Eiler1	Письмо Эйлеру Л., 16 февраля 1748 г.	1748	Michael Lomonosow	1711		Я. М. Боровский	1952	обиходно-бытовая	lat	rus
Eiler2	Письмо Эйлеру Л., 12 февраля 1754 г.	1754	Michael Lomonosow	1711		Я. М. Боровский	1952	обиходно-бытовая	lat	rus
Eiler3	Письмо Эйлеру Л., 28 ноября 1754 г.	1754	Michael Lomonosow	1711		Я. М. Боровский	1952	обиходно-бытовая	lat	rus
Eiler4	Письмо Эйлеру Л., 5 июля 1748 г.	1748	Michael Lomonosow	1711		Я. М. Боровский	1952	обиходно-бытовая	lat	rus
Eiler5	Письмо Эйлеру Л., 27 мая 1749 г.	1749	Michael Lomonosow	1711		Я. М. Боровский	1952	обиходно-бытовая	lat	rus
De gen. metallorum	Oratio de generatione metallorum a terrae motu	1757	Michael Lomonosow	1711	Слово о рождении металлов от трясения земли	М. В. Ломоносов	1757	учебно-научная	lat	rus
De cohaesionis nota	44 заметки о сцеплении корпускул	1738-1746	Michael Lomonosow	1711		М. Е. Сергеенко	1950	учебно-научная	lat	rus
De physica nota	276 заметок по физике и корпускулярной философии; темы будущих рабо	1738-1746	Michael Lomonosow	1711		Б. Н. Меншуткин	1950	учебно-научная	lat	rus
De gravitate nota	Заметки о тяжести тел	1738-1747	Michael Lomonosow	1711		Я. М. Боровский	1950	учебно-научная	lat	rus
Specimen physicum	Specimen physicum de transmutatione corporis solidi in fluidum a motu fluidi praeexistentis dependente	1738-1748	Michael Lomonosow	1711	Работа по физике о превращении твердого тела в жидкое, в зависимости от движения предсуществующей жидкости	Б. Н. Меншуткин	1950	учебно-научная	lat	rus
Dissertatio physica	Dissertatio physica de corporum mixtorum differentia, quae in cohaesione corpusculorum consistit, quam exercitii gratia conscripsit Michael Lomonosow, matheseos et philosophiae studiosus, anno 1739, mense martio	1739	Michael Lomonosow	1711	Физическая диссертация о различии смешанных тел, состоящем в сцеплении корпускул, которую для упражнения написал Михайло Ломоносов, студент математики и философии, в 1739 году, в марте месяце	Б. Н. Меншуткин	1950	учебно-научная	lat	rus
